Point2D
10
[(683.3887;491.28455), (849.7485;900.3272), (948.0271;489.9299), (646.0412;189.52185), (851.4591;461.94476), (768.23956;70.65171), (642.014;253.58742), null, null, null]
[(589.59375;694.99164), (853.75397;235.5783), (997.34143;398.9399), (345.0703;929.7266), (171.64903;753.5891), (890.28656;34.464775), (891.4069;651.9642), null, null, null]
[(626.2644;751.2749), (195.35262;797.7282), (626.8456;842.76697), (361.7066;507.97208), (691.25104;455.46454), (819.56836;834.02814), (237.8627;446.27625), null, null, null]
[(859.7948;8.198023), (675.04553;82.59398), (209.39667;88.472244), (474.56516;576.08936), (185.2774;916.46564), (6.1694384;107.09393), (999.33124;72.82776), null, null, null]
[(504.78577;912.6848), (858.33923;713.4983), (81.476746;582.3697), (384.36984;770.148), (635.5692;817.8469), (224.57082;229.33382), (789.17065;72.626175), null, null, null]
[(142.39908;26.815594), (810.4999;456.05856), (666.46564;611.66833), (510.55658;262.42184), (977.6736;689.728), (715.75525;979.5798), (464.97195;86.30574), null, null, null]
[(27.7825;346.44806), (734.4879;700.1755), (534.3912;836.714), (70.48416;826.05676), (38.278996;902.7141), (313.72653;297.51868), (97.35054;236.6733), null, null, null]
[(206.8103;404.5723), null, null, null, null, null, null, null, null, null]
[(396.36206;918.3491), (844.33093;140.68979), (463.81885;886.3764), (656.4078;528.7407), (153.57559;55.821003), (995.13995;902.2426), (200.43343;619.7236), null, null, null]
[(895.7507;997.0376), (694.9518;100.95227), (599.29706;176.76675), (625.6808;0.040113926), (851.66473;682.4868), (563.7359;287.8144), (174.14862;511.7472), null, null, null]
[(977.0768;74.75287), (566.83624;665.63403), (949.0533;486.5638), (906.81964;468.85925), (758.62634;854.3157), (886.81976;512.10046), (416.94724;761.41833), null, null, null]
[(29.539108;538.39496), (77.099976;619.1156), (839.26337;932.7846), (484.19385;703.6203), (522.8551;207.03703), (791.51697;451.98465), (8.258163;221.412), null, null, null]
[(157.96477;235.14247), (323.31198;593.63763), (550.6288;350.295), (311.24002;264.25433), (51.090004;309.18683), (861.31537;67.55924), (428.36642;799.7867), null, null, null]
[(672.3382;604.29004), (23.144901;569.0788), (392.12494;230.95203), (317.44586;579.7486), (612.1814;63.013077), null, null, null, null, null]
[(820.54785;108.745155), (784.11884;277.32306), (212.67735;760.72473), (819.3584;489.52573), (49.753307;25.883615), null, null, null, null, null]
[(725.2541;925.07214), (583.729;777.5992), (203.86183;649.19403), (798.0318;782.15326), (860.25555;654.1021), null, null, null, null, null]
[(942.1642;330.5555), (803.2944;890.96277), (862.4442;872.9083), (407.70554;383.31647), (229.62617;957.1242), null, null, null, null, null]
[(19.31101;921.2918), (853.20667;920.9199), (148.21785;72.781204), (967.87146;123.96735), (248.41142;490.36426), (274.1629;901.2133), (128.1712;637.6727), null, null, null]
[(164.57898;419.51346), (215.66928;252.39551), (20.595074;765.6473), (198.88943;478.96027), (814.0618;427.68384), (855.9437;91.284035), (227.11194;819.53705), (165.64667;24.138689), (717.5486;565.40735), null]
